"";"gbifID";"datasetKey";"occurrenceID";"kingdom";"phylum";"class";"order";"family";"genus";"species";"infraspecificEpithet";"taxonRank";"scientificName";"verbatimScientificName";"verbatimScientificNameAuthorship";"countryCode";"locality";"stateProvince";"occurrenceStatus";"individualCount";"publishingOrgKey";"coordinateUncertaintyInMeters";"coordinatePrecision";"elevation";"elevationAccuracy";"depth";"depthAccuracy";"eventDate";"day";"month";"year";"taxonKey";"speciesKey";"basisOfRecord";"institutionCode";"collectionCode";"catalogNumber";"recordNumber";"identifiedBy";"dateIdentified";"license";"rightsHolder";"recordedBy";"typeStatus";"establishmentMeans";"lastInterpreted";"mediaType";"issue";"code_insee";"nom";"nuts3";"wikipedia";"code_insee.1";"nom.1";"nuts3.1";"wikipedia.1";"code_insee.2";"nom.2";"nuts3.2";"wikipedia.2";"code_insee.1.1";"nom.1.1";"nuts3.1.1";"wikipedia.1.1";"geometry"
"5";4560995725;"c4e76595-b467-4f88-8067-b8de661b99c5";"1e838917-71fd-4f9a-a47b-0732e72d3be8";"Animalia";"Chordata";"Aves";"Passeriformes";"Alaudidae";"Alauda";"Alauda arvensis";"";"SPECIES";"Alauda arvensis Linnaeus, 1758";"Alauda arvensis Linnaeus, 1758";NA;"FR";NA;NA;"PRESENT";NA;"1928bdf0-f5d2-11dc-8c12-b8a03c50a862";"";NA;NA;NA;NA;NA;"2007-06-13";13;6;2007;8077224;8077224;"HUMAN_OBSERVATION";NA;NA;NA;NA;NA;NA;"CC_BY_4_0";NA;"BAUDAIS Jean-Yves";NA;NA;"2024-03-21T10:56:46.457Z";NA;"CONTINENT_DERIVED_FROM_COORDINATES;FOOTPRINT_WKT_MISMATCH;TAXON_MATCH_TAXON_ID_IGNORED";"35";"Ille-et-Vilaine";"FR523";"fr:Ille-et-Vilaine";"22";"Côtes-d'Armor";"FR521";"fr:Côtes-d'Armor";"56";"Morbihan";"FR524";"fr:Morbihan";"29";"Finistère";"FR522";"fr:Finistère";c(-1.49998, 48.16665)
"18";4550126815;"c4e76595-b467-4f88-8067-b8de661b99c5";"22929096-eaa6-4b90-9ad1-8c11398382b8";"Animalia";"Chordata";"Aves";"Passeriformes";"Alaudidae";"Alauda";"Alauda arvensis";"";"SPECIES";"Alauda arvensis Linnaeus, 1758";"Alauda arvensis Linnaeus, 1758";NA;"FR";NA;NA;"PRESENT";NA;"1928bdf0-f5d2-11dc-8c12-b8a03c50a862";"";NA;NA;NA;NA;NA;"2003-04-22";22;4;2003;8077224;8077224;"HUMAN_OBSERVATION";NA;NA;NA;NA;NA;NA;"CC_BY_4_0";NA;"LONCLE NICOLAS";NA;NA;"2024-03-21T10:57:50.475Z";NA;"CONTINENT_DERIVED_FROM_COORDINATES;FOOTPRINT_WKT_MISMATCH;TAXON_MATCH_TAXON_ID_IGNORED";"35";"Ille-et-Vilaine";"FR523";"fr:Ille-et-Vilaine";"22";"Côtes-d'Armor";"FR521";"fr:Côtes-d'Armor";"56";"Morbihan";"FR524";"fr:Morbihan";"29";"Finistère";"FR522";"fr:Finistère";c(-2.55282, 48.53093)
"35";4561386803;"c4e76595-b467-4f88-8067-b8de661b99c5";"29beccda-c067-4f57-892e-33879fcd38fa";"Animalia";"Chordata";"Aves";"Passeriformes";"Alaudidae";"Alauda";"Alauda arvensis";"";"SPECIES";"Alauda arvensis Linnaeus, 1758";"Alauda arvensis Linnaeus, 1758";NA;"FR";NA;NA;"PRESENT";NA;"1928bdf0-f5d2-11dc-8c12-b8a03c50a862";"";NA;NA;NA;NA;NA;"2008-06-10";10;6;2008;8077224;8077224;"HUMAN_OBSERVATION";NA;NA;NA;NA;NA;NA;"CC_BY_4_0";NA;"MARTIN Hubert";NA;NA;"2024-03-21T10:56:50.406Z";NA;"CONTINENT_DERIVED_FROM_COORDINATES;FOOTPRINT_WKT_MISMATCH;TAXON_MATCH_TAXON_ID_IGNORED";"35";"Ille-et-Vilaine";"FR523";"fr:Ille-et-Vilaine";"22";"Côtes-d'Armor";"FR521";"fr:Côtes-d'Armor";"56";"Morbihan";"FR524";"fr:Morbihan";"29";"Finistère";"FR522";"fr:Finistère";c(-4.012, 48.70137)
"66";4561665132;"c4e76595-b467-4f88-8067-b8de661b99c5";"32fb67f6-aa35-4bc9-8384-7369020aac25";"Animalia";"Chordata";"Aves";"Passeriformes";"Alaudidae";"Alauda";"Alauda arvensis";"";"SPECIES";"Alauda arvensis Linnaeus, 1758";"Alauda arvensis Linnaeus, 1758";NA;"FR";NA;NA;"PRESENT";NA;"1928bdf0-f5d2-11dc-8c12-b8a03c50a862";"";NA;NA;NA;NA;NA;"2015-06-12";12;6;2015;8077224;8077224;"HUMAN_OBSERVATION";NA;NA;NA;NA;NA;NA;"CC_BY_4_0";NA;"QUENOT François";NA;NA;"2024-03-21T10:56:52.762Z";NA;"CONTINENT_DERIVED_FROM_COORDINATES;FOOTPRINT_WKT_MISMATCH;TAXON_MATCH_TAXON_ID_IGNORED";"35";"Ille-et-Vilaine";"FR523";"fr:Ille-et-Vilaine";"22";"Côtes-d'Armor";"FR521";"fr:Côtes-d'Armor";"56";"Morbihan";"FR524";"fr:Morbihan";"29";"Finistère";"FR522";"fr:Finistère";c(-2.49548, 48.00001)
"91";4561965772;"c4e76595-b467-4f88-8067-b8de661b99c5";"3c8baee6-962d-410d-b1a7-584765ac806e";"Animalia";"Chordata";"Aves";"Passeriformes";"Alaudidae";"Alauda";"Alauda arvensis";"";"SPECIES";"Alauda arvensis Linnaeus, 1758";"Alauda arvensis Linnaeus, 1758";NA;"FR";NA;NA;"PRESENT";NA;"1928bdf0-f5d2-11dc-8c12-b8a03c50a862";"";NA;NA;NA;NA;NA;"2007-05-23";23;5;2007;8077224;8077224;"HUMAN_OBSERVATION";NA;NA;NA;NA;NA;NA;"CC_BY_4_0";NA;"GUILLEMOT Francis";NA;NA;"2024-03-21T10:56:55.167Z";NA;"CONTINENT_DERIVED_FROM_COORDINATES;FOOTPRINT_WKT_MISMATCH;TAXON_MATCH_TAXON_ID_IGNORED";"35";"Ille-et-Vilaine";"FR523";"fr:Ille-et-Vilaine";"22";"Côtes-d'Armor";"FR521";"fr:Côtes-d'Armor";"56";"Morbihan";"FR524";"fr:Morbihan";"29";"Finistère";"FR522";"fr:Finistère";c(-3.42291, 47.83534)
"107";4551687910;"c4e76595-b467-4f88-8067-b8de661b99c5";"42070d1f-cb06-4932-b398-9f22603278e1";"Animalia";"Chordata";"Aves";"Passeriformes";"Alaudidae";"Alauda";"Alauda arvensis";"";"SPECIES";"Alauda arvensis Linnaeus, 1758";"Alauda arvensis Linnaeus, 1758";NA;"FR";NA;NA;"PRESENT";NA;"1928bdf0-f5d2-11dc-8c12-b8a03c50a862";"";NA;NA;NA;NA;NA;"2009-05-23";23;5;2009;8077224;8077224;"HUMAN_OBSERVATION";NA;NA;NA;NA;NA;NA;"CC_BY_4_0";NA;"GUILLEMOT Francis";NA;NA;"2024-03-21T10:57:55.915Z";NA;"CONTINENT_DERIVED_FROM_COORDINATES;FOOTPRINT_WKT_MISMATCH;TAXON_MATCH_TAXON_ID_IGNORED";"35";"Ille-et-Vilaine";"FR523";"fr:Ille-et-Vilaine";"22";"Côtes-d'Armor";"FR521";"fr:Côtes-d'Armor";"56";"Morbihan";"FR524";"fr:Morbihan";"29";"Finistère";"FR522";"fr:Finistère";c(-3.42686, 47.82252)
"129";4552269946;"c4e76595-b467-4f88-8067-b8de661b99c5";"52609230-0f0f-4913-b5cd-3c2b398b1405";"Animalia";"Chordata";"Aves";"Passeriformes";"Alaudidae";"Alauda";"Alauda arvensis";"";"SPECIES";"Alauda arvensis Linnaeus, 1758";"Alauda arvensis Linnaeus, 1758";NA;"FR";NA;NA;"PRESENT";NA;"1928bdf0-f5d2-11dc-8c12-b8a03c50a862";"";NA;NA;NA;NA;NA;"2013-05-26";26;5;2013;8077224;8077224;"HUMAN_OBSERVATION";NA;NA;NA;NA;NA;NA;"CC_BY_4_0";NA;"GOHIER Lionel";NA;NA;"2024-03-21T10:57:58.799Z";NA;"CONTINENT_DERIVED_FROM_COORDINATES;FOOTPRINT_WKT_MISMATCH;TAXON_MATCH_TAXON_ID_IGNORED";"35";"Ille-et-Vilaine";"FR523";"fr:Ille-et-Vilaine";"22";"Côtes-d'Armor";"FR521";"fr:Côtes-d'Armor";"56";"Morbihan";"FR524";"fr:Morbihan";"29";"Finistère";"FR522";"fr:Finistère";c(-1.99687, 48.06001)
"187";4563377576;"c4e76595-b467-4f88-8067-b8de661b99c5";"6aa4b850-1745-48c0-9f2e-4bb8dc28a393";"Animalia";"Chordata";"Aves";"Passeriformes";"Alaudidae";"Alauda";"Alauda arvensis";"";"SPECIES";"Alauda arvensis Linnaeus, 1758";"Alauda arvensis Linnaeus, 1758";NA;"FR";NA;NA;"PRESENT";NA;"1928bdf0-f5d2-11dc-8c12-b8a03c50a862";"";NA;NA;NA;NA;NA;"2005-06-03";3;6;2005;8077224;8077224;"HUMAN_OBSERVATION";NA;NA;NA;NA;NA;NA;"CC_BY_4_0";NA;"Champion Mickaël";NA;NA;"2024-03-21T10:57:06.564Z";NA;"CONTINENT_DERIVED_FROM_COORDINATES;FOOTPRINT_WKT_MISMATCH;TAXON_MATCH_TAXON_ID_IGNORED";"35";"Ille-et-Vilaine";"FR523";"fr:Ille-et-Vilaine";"22";"Côtes-d'Armor";"FR521";"fr:Côtes-d'Armor";"56";"Morbihan";"FR524";"fr:Morbihan";"29";"Finistère";"FR522";"fr:Finistère";c(-4.00001, 48.33331)
"260";4554301591;"c4e76595-b467-4f88-8067-b8de661b99c5";"87984c35-7a2c-4f05-afdd-4bdfacb8d7c2";"Animalia";"Chordata";"Aves";"Passeriformes";"Alaudidae";"Alauda";"Alauda arvensis";"";"SPECIES";"Alauda arvensis Linnaeus, 1758";"Alauda arvensis Linnaeus, 1758";NA;"FR";NA;NA;"PRESENT";NA;"1928bdf0-f5d2-11dc-8c12-b8a03c50a862";"";NA;NA;NA;NA;NA;"2006-05-20";20;5;2006;8077224;8077224;"HUMAN_OBSERVATION";NA;NA;NA;NA;NA;NA;"CC_BY_4_0";NA;"CORNEC Gaetan";NA;NA;"2024-03-21T10:58:08.460Z";NA;"CONTINENT_DERIVED_FROM_COORDINATES;FOOTPRINT_WKT_MISMATCH;TAXON_MATCH_TAXON_ID_IGNORED";"35";"Ille-et-Vilaine";"FR523";"fr:Ille-et-Vilaine";"22";"Côtes-d'Armor";"FR521";"fr:Côtes-d'Armor";"56";"Morbihan";"FR524";"fr:Morbihan";"29";"Finistère";"FR522";"fr:Finistère";c(-3.42721, 47.76605)
"294";4554823554;"c4e76595-b467-4f88-8067-b8de661b99c5";"94257067-6ebb-4a69-b05d-f3c2de072d75";"Animalia";"Chordata";"Aves";"Passeriformes";"Alaudidae";"Alauda";"Alauda arvensis";"";"SPECIES";"Alauda arvensis Linnaeus, 1758";"Alauda arvensis Linnaeus, 1758";NA;"FR";NA;NA;"PRESENT";NA;"1928bdf0-f5d2-11dc-8c12-b8a03c50a862";"";NA;NA;NA;NA;NA;"2014-05-31";31;5;2014;8077224;8077224;"HUMAN_OBSERVATION";NA;NA;NA;NA;NA;NA;"CC_BY_4_0";NA;"Ladan Ludovic";NA;NA;"2024-03-21T10:58:10.528Z";NA;"CONTINENT_DERIVED_FROM_COORDINATES;FOOTPRINT_WKT_MISMATCH;TAXON_MATCH_TAXON_ID_IGNORED";"35";"Ille-et-Vilaine";"FR523";"fr:Ille-et-Vilaine";"22";"Côtes-d'Armor";"FR521";"fr:Côtes-d'Armor";"56";"Morbihan";"FR524";"fr:Morbihan";"29";"Finistère";"FR522";"fr:Finistère";c(-4.60298, 48.01759)
